id,name,description,float_score,active
7,baby carriers,"Nulla facilisi. Aenean pulvinar malesuada leo vitae venenatis. Aliquam ullamcorper rutrum erat, sit amet dapibus lorem fringilla ac. Curabitur accumsan aliquet massa eu feugiat.",25,t
8,bedding & decor,"In quis elit ac dolor euismod hendrerit sed id arcu. Nulla facilisi. Etiam et dolor in neque pellentesque laoreet. Aliquam et auctor ante, ut.",12,t
9,boys' clothing,"Proin aliquam sem sit amet leo convallis, vel semper neque vehicula. Praesent.",0.233,t
10,boys' shoes,"Sed suscipit nibh neque, tincidunt convallis metus aliquam vitae. Nullam elementum vulputate",1000293.9,t
11,girls' clothing,Sed vel enim diam. Fusce eu quam at.,123.4567,f
12,girls' shoes,"Pellentesque magna odio, blandit in nisi fringilla, commodo.",0.999,t
13,car seats,"Nulla facilisi. Aenean pulvinar malesuada leo vitae venenatis. Aliquam ullamcorper rutrum erat, sit amet dapibus lorem fringilla ac. Curabitur accumsan aliquet massa eu feugiat.",42.42,t
14,diapering,"In quis elit ac dolor euismod hendrerit sed id arcu. Nulla facilisi. Etiam et dolor in neque pellentesque laoreet. Aliquam et auctor ante, ut.",3.141592366,t
15,feeding,"Proin aliquam sem sit amet leo convallis, vel semper neque vehicula. Praesent.",71482.15874,f
16,health & safety,"Sed suscipit nibh neque, tincidunt convallis metus aliquam vitae. Nullam elementum vulputate",59575.38429,t
17,nursery furniture,Sed vel enim diam. Fusce eu quam at.,47668.60983,t
18,newborn clothing,"Pellentesque magna odio, blandit in nisi fringilla, commodo.",35761.83538,t
19,strollers,"Nulla facilisi. Aenean pulvinar malesuada leo vitae venenatis. Aliquam ullamcorper rutrum erat, sit amet dapibus lorem fringilla ac. Curabitur accumsan aliquet massa eu feugiat.",23855.06093,t
20,kids,"In quis elit ac dolor euismod hendrerit sed id arcu. Nulla facilisi. Etiam et dolor in neque pellentesque laoreet. Aliquam et auctor ante, ut.",11948.28647,t
21,boys' clothing,"Proin aliquam sem sit amet leo convallis, vel semper neque vehicula. Praesent.",41.51201737,f
22,boys' shoes,"Sed suscipit nibh neque, tincidunt convallis metus aliquam vitae. Nullam elementum vulputate",-11865.26244,t
23,girls' clothing,Sed vel enim diam. Fusce eu quam at.,-23772.03689,t
24,girls' shoes,"Pellentesque magna odio, blandit in nisi fringilla, commodo.",-35678.81135,t
25,kids' bath,"Nulla facilisi. Aenean pulvinar malesuada leo vitae venenatis. Aliquam ullamcorper rutrum erat, sit amet dapibus lorem fringilla ac. Curabitur accumsan aliquet massa eu feugiat.",-47585.5858,f
